Job Title,Company,Location,Remote,Relocation,Compensation,tags
Sr. Software Engineer – Server / Full Stack,Shiseido,"Austin, TX",,,,"amazon-web-services,java,reactjs"
Frontend Developer,Edelberg & Associates,"Atlanta, GA",,,,"user-interface,user-experience,javascript"
Big Data Developer,Auritas LLC,"Phoenix, AZ",,,,"java,python,sql"
Angular Developer,Roc Search,"Austin, TX",,,,"angularjs,c#,javascript"
Software Developer,Victra - Verizon Authorized Retailer,"Raleigh, NC",,,,"c#,asp.net,sql"
Senior Dotnet Developer,US Tech Solutions,"Atlanta, GA",,,,"azure,java,.net"
Java Full Stack Developer,ThoughtFocus,"Dallas, TX",,,,"java,reactjs,javascript"
Azure Integration Architect,"The Brixton Group, Inc.","Houston, TX",,,,"azure,asp.net-web-api,continuous-integration"
Sales Engineer - BI / Analytics,Incorta,"Atlanta, GA",,,,"python,sql"
DevOps Engineer,Client Confidential,"Dallas, TX",,,,"cloud,web-services,security"
Senior Site Reliability Engineer,Paladin Consulting,"Dallas, TX",,,,"cloud,web-services,security"
Information Technology Business Analyst,EPITEC,"Dallas, TX",,,,"agile,user-experience,c"
Java Developer - Backend,UST Global España,"Salamanca, Spain",,,,"java,web-services"
"Programadores, Analistas Programadores,Funcionales.Net",EQUIPO TIC XXI,"Madrid, Spain",,,,
FrontEnd Engineer [Angular; NGRX / Redux],3D Hubs,"Amsterdam, Netherlands",,Paid relocation,"€40k - 50k

                         | 
Equity","angularjs,redux,reactjs,ngrx,python"
Site Systems Administrator,Connected Vehicle Optimization (CVO),"Phoenix, AZ",,,,"sysadmin,windows,sql-server"
Software Engineering Manager / Director,Foundation Recruiting and Consulting,"San Diego, CA",,,,"java,spring,continuous-integration"
Senior Platform Engineer,Lana,"Miami, FL",,,,"java,web-services,amazon-web-services"
Lead Web Application Developer,JDC Group,"Minneapolis, MN",,,,"java,angularjs,reactjs"
Java Developer (with Big Data) - Mid Level,TechMileage Software Solutions,"Phoenix, AZ",,,,"java,spring,java-ee"
Senior Technical Architect,Lana,"Miami, FL",,,,"java,design,web-services"
Engineering Team Lead - Zendesk Explore (analytics product),Zendesk,"Dublin, Ireland",,Paid relocation,,"ruby-on-rails,agile,java,amazon-web-services,scala"
React Frontend Developer,NEUFUND,"Berlin, Germany",,Paid relocation,,"reactjs,typescript,redux,ethereum,node.js"
Software Architect (focus PHP),Docler Holding,Luxembourg,,Paid relocation,,"php,mysql,memcached,nosql,redis"
Salesforce Architect with Lightning Component Experience [20 hours per week],DjangoForce,No office location,Remote,,$84k - 132k,"salesforce,salesforce-lightning,salesforce-service-cloud,salesforce-communities"
Software engineer,DC Frontiers Pte Ltd.,Singapore,,,,"node.js,typescript,c#,python"
Senior PHP/ReactJS Developer,PNDLM,No office location,Remote,,$75k - 100k,"docker,mysql,reactjs,php"
Senior Backend Software Engineer - Kotlin (f/m/d),Delivery Hero SE,"Berlin, Germany",,Paid relocation,,"java,kotlin,spring"
Software Engineer - Finance Technology (Go/Python),Zalando SE,"Berlin, Germany",,Paid relocation,,"amazon-web-services,cloud,python,go"
